acousticness,class,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,num_bars,num_sections,num_segments,tempo,time_signature,title,valence
0.00895,1,0.316,235893,0.945,0COqiPhxzoWICwFCS4eZcp,1.85e-06,4,0.396,-3.169,0,187,12,771,189.931,4,Bring Me To Life,0.32
0.00227,1,0.627,203352,0.706,4z9gBZQjGS4QLb4LOvmeuA,0.0,10,0.122,-3.201,0,84,12,789,99.93,4,Burning Up (Fire),0.536
0.642,1,0.834,194164,0.256,3kOtrXdDW7zkcLP5IrMmDc,0.0156,0,0.104,-9.433,0,71,9,687,88.944,4,By The Shore,0.496
0.128,1,0.915,198256,0.464,2ftBcyzDa2REbBy7pMfbTT,0.0,1,0.0785,-5.289,1,86,11,753,106.034,4,Bye Babe,0.912
0.677,1,0.445,223452,0.528,093PI3mdUvOSlvMYDwnV1e,0.0,10,0.155,-7.243,1,187,12,776,203.155,4,11:11,0.511
0.034,1,0.818,225983,0.803,6b8Be6ljOzmkOmFslEb23P,0.0,1,0.153,-4.282,1,101,9,966,106.97,4,24K Magic,0.632
0.00446,1,0.393,211667,0.695,2Nbk6e3lExNzZj9AuCwV8C,0.00219,7,0.0986,-6.887,0,123,11,736,143.913,4,Cold Skin,0.061
0.0621,1,0.582,238117,0.719,7qKPyKGfnYRdcpnc1Wz97A,0.00294,5,0.124,-8.884,1,125,9,982,125.988,4,Cold Feet,0.121
0.000264,1,0.447,347867,0.768,4ao9bdN6ozxdlQ9j2rGDFy,0.0698,8,0.111,-3.991,1,200,18,1164,139.23,4,City Of Blinding Lights,0.246
0.271,1,0.776,241765,0.392,14p5EKgbPx4U3P1j5JNHeh,2.21e-06,5,0.14,-10.493,0,86,14,896,87.98,4,"Cigarette (Feat. Tablo, MISO)",0.438
0.599,1,0.577,307880,0.749,0BCPKOYdS2jbQ8iyB56Zns,0.0112,5,0.183,-7.215,0,166,13,1033,130.969,4,Clocks,0.261
0.868,1,0.775,139139,0.337,0KcV1EQdppMZe78MGT6wBn,0.898,4,0.142,-12.263,1,79,7,595,138.016,4,clay castle ruins,0.885
0.414,1,0.748,244960,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0.0,8,0.111,-5.599,1,94,11,810,95.01,4,Closer,0.661
0.0279,1,0.696,167759,0.61,6gHQIxtN5UwHJlEaUjcViK,0.000595,0,0.257,-7.462,1,68,7,698,99.98,4,Close Enough,0.403
0.368,1,0.648,228433,0.734,0nKpHGrnuejevp6openGaF,0.0,0,0.0938,-6.289,1,159,9,942,167.044,4,Cold,0.196
0.934,1,0.572,86400,0.341,31qa3MvGhA4FbbeUOhBe4J,0.689,11,0.109,-11.924,1,28,5,271,89.098,4,cocoa,0.7
0.0268,1,0.769,218615,0.817,1trFxVLL8WKhYap543e74l,9.95e-05,0,0.084,-4.092,0,125,10,921,139.979,4,Airplane pt.2,0.866
0.767,1,0.614,172000,0.547,7nT4rMprxiA9H9HM3oZ1Kq,0.893,5,0.0919,-11.772,0,65,8,698,92.99,4,Again,0.226
0.00259,1,0.331,206427,0.837,74HHgWX80N5YfZpvEQOUov,0.0221,2,0.128,-4.17,0,108,8,770,117.963,5,Alive,0.192
0.000397,1,0.623,274213,0.793,2UM6b78kBrge7Esaoz93kk,0.0015,11,0.375,-6.63,0,112,9,1137,98.998,4,Alejandro,0.36
0.176,1,0.585,203857,0.85,3GdvlmQ8GgfFokp1hpdRJ2,0.0,11,0.457,-3.625,1,106,10,820,127.974,4,All Mine,0.648
0.375,1,0.4,216786,0.724,6jLsYKGOBRBRvdowIzuyUf,0.0,8,0.0927,-6.064,1,93,9,951,96.782,4,All I Wanna Do (feat. Hoody & 로꼬 Loco) [Korean Version],0.43
0.0234,1,0.758,222693,0.686,2FG7k4aaCUjXX6NpCkCpgC,2.81e-06,9,0.0928,-4.213,0,81,11,825,89.019,4,All Night Long,0.904
0.0308,1,0.777,222894,0.807,1UwERmn5UogyCz6qo21BmA,2.93e-05,9,0.228,-4.101,0,118,9,902,129.984,4,All Night,0.732
0.284,1,0.53,238000,0.95,5XRHGXut00SrJUFmcn2lQF,1.01e-05,0,0.211,-3.526,1,145,11,903,146.035,4,All The Right Moves,0.733
0.859,1,0.678,172235,0.245,76ui6kPzjm2vKODEIOZMXK,0.847,9,0.12,-17.836,1,60,6,524,84.919,4,All the People,0.333
0.0404,1,0.518,256133,0.83,6fA7akEuTUL3dW1V0GELaZ,3.85e-06,6,0.375,-6.814,0,102,9,917,95.468,4,Bent,0.527
0.0217,1,0.739,238746,0.872,6Xk7PnitV9jCRorWt2LiVZ,0.0,11,0.26,-4.059,0,94,11,996,95.084,4,Berzerk,0.684
0.159,1,0.745,241933,0.666,5EuAj9nZiWRKeBkgxMXsW4,0.0,9,0.302,-5.899,1,129,11,956,129.995,4,Beautiful Girls,0.708
0.0417,1,0.772,203782,0.775,05KfyCEE6otdlT1pp2VIjP,0.0,10,0.226,-4.388,0,105,10,755,124.978,4,Believer,0.748
0.0663,1,0.589,240508,0.826,4pWawf1Rq4qHDv4Ktqjg2D,0.000735,0,0.367,-4.577,0,116,12,916,117.099,4,Beautiful Creatures (feat. MAX),0.215
0.0144,1,0.537,248067,0.921,1VuBmEauSZywQVtqbxNqka,0.00479,2,0.382,-6.474,1,139,6,931,136.264,4,Beautiful Day,0.467
0.241,1,0.839,194426,0.617,4as4XEOR03oGm1STUKl6pa,0.0,7,0.3,-4.692,1,115,6,759,143.894,4,BBIBBI,0.821
0.123,1,0.58,280451,0.868,3AcNJMYU4v7mr1DEWEWGmh,0.0,10,0.302,-1.195,0,208,12,1181,178.002,4,Be Natural (feat. SR14B 'TAEYONG (태용)'),0.772
0.00293,1,0.442,181533,0.943,6L89mwZXSOwYl76YXfX13s,8.71e-06,3,0.091,-3.205,1,64,3,657,85.064,4,Basket Case,0.781
0.862,1,0.621,160941,0.249,3pM8P070gawGMIK7TTFgW1,0.898,9,0.0772,-13.105,0,55,5,583,84.991,4,Bastia,0.142
0.212,1,0.735,207477,0.849,2klCjJcucgGQysgH170npL,2.94e-05,4,0.0608,-4.308,0,107,7,999,125.972,4,4 Walls,0.223
0.1,1,0.762,243324,0.594,7kcCB7oh6X4bSoFCvrHLvG,0.0,0,0.123,-5.465,1,97,10,908,98.025,4,24/7,0.337
0.0904,1,0.46,364091,0.622,3MtxiqrTNRwtj9EIVDjRSU,9.23e-06,7,0.255,-4.886,0,132,14,994,88.03,4,Afterlife,0.212
0.65,1,0.479,162016,0.452,3yM1SaSngFZCla4gOOUn2a,0.378,4,0.379,-14.67,0,45,8,607,52.294,3,Car Radio,0.152
0.92,1,0.4,177946,0.259,1R6amI33Kxxbxnas1ictrD,0.774,5,0.108,-17.229,0,178,8,768,245.327,4,Capitano (Instrumental Version),0.508
0.633,1,0.765,229573,0.688,42CeaId2XNlxugDvyqHfDf,0.0,4,0.0734,-5.566,1,84,10,875,90.013,4,Candy Paint,0.434
0.403,1,0.628,215507,0.834,10FP9hm2aFfAIKEopqaG9D,0.0,6,0.051,-6.341,0,86,9,736,97.865,4,Can't Fight The Moonlight,0.626
0.0392,1,0.662,250080,0.705,6ObpR8ek44tvWefQRcSo8K,2.38e-06,1,0.105,-6.56,0,165,10,894,159.996,4,Calling All My Lovelies,0.865
0.00427,1,0.597,171360,0.837,65Wn0KpbPXTVLNQNEMtK1j,0.00114,10,0.839,-6.518,1,88,10,644,126.342,4,Call On Me - Radio Edit,0.447
0.284,1,0.692,211013,0.886,4jdiqVbH1eUwc4MzDV7GMu,0.0,1,0.341,-2.519,1,86,8,871,100.03,4,CALL ME BABY,0.879
0.0198,1,0.571,199640,0.87,2yiZyjMEByt9sJBZWnWaDR,6.6e-06,8,0.0564,-3.877,0,143,9,816,172.716,4,Bye Bye Bye,0.813
0.0113,1,0.509,300000,0.867,7Bka7BItYbiCQOSbJNx0ni,0.383,6,0.105,-5.859,1,171,13,1190,140.028,4,Cataclysm,0.0675
0.0232,1,0.461,261154,0.834,6PCUP3dWmTjcTtXY02oFdT,1.14e-05,2,0.14,-4.868,1,146,12,914,135.007,4,Castle on the Hill,0.471
